--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041634_67누4781.jpg	67누4781                  	0.7738
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041658_67부4781.jpg	67누4781                  	0.7012
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041714_01나9247.jpg	01나9247                  	0.8088
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041735_192오3049.jpg	192호3049                 	0.9896
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041746_192오3069.jpg	192호3049                 	0.8096
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041748_01나9747.jpg	01나9247                  	0.3594
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041748_192고오3049.jpg	192호3049                 	0.6359
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041751_01나9717.jpg	01나9247                  	0.8423
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041751_192모오3049.jpg	192호3049                 	0.9606
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041753_192오2오3049.jpg	192호3049                 	0.9817
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041803_36두5370.jpg	30구5370                  	0.8761
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041810_19오3049.jpg	192호3049                 	0.4627
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041813_19오3047.jpg	192호3049                 	0.6876
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041815_197오3067.jpg	192호3049                 	0.8827
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041827_36무5370.jpg	36우5370                  	0.4090
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041837_6두5370.jpg	36두5370                  	0.3292
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041837_45소0347.jpg	45소03471                 	0.7954
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041839_5소0347.jpg	45소0347                  	0.4067
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041906_45소0337.jpg	150347                   	0.9248
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041911_450387.jpg	450347                   	0.4881
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041931_68누0891.jpg	68누0891                  	0.4518
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041936_68부0891.jpg	68누0891                  	0.9870
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-041943_57노0970.jpg	57노0970                  	0.7229
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042001_68부누0891.jpg	8누0891                   	0.6855
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042006_68누0851.jpg	68누0891                  	0.9724
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042103_67하9990.jpg	67어9990                  	0.2690
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042125_67아9990.jpg	67어9990                  	0.5425
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042137_67하79990.jpg	67어9990                  	0.3533
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042139_67하7950.jpg	67머9990                  	0.5438
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042327_30바6711.jpg	306711                   	0.9284
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042331_3바6711.jpg	30어6711                  	0.3664
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042410_58381.jpg	7소                       	0.4387
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042424_17마2998.jpg	17마2998                  	0.8598
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042429_7마2998.jpg	17마2998                  	0.3800
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042448_17아7998.jpg	17어2998                  	0.6908
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042452_17아2998.jpg	17마2998                  	0.4759
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042506_17마7998.jpg	17어2998                  	0.2473
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042529_32도7919.jpg	32노7919                  	0.6974
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042532_30우1724.jpg	30루1724                  	0.7736
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042537_32오도7917.jpg	32도7919                  	0.9996
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042540_32도7937.jpg	32도7919                  	0.9975
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042542_37두7919.jpg	32도7919                  	0.7401
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042547_32배7917.jpg	32노7919                  	0.9089
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042550_37두7917.jpg	32도7919                  	0.3536
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042552_32두7919.jpg	32노7919                  	0.5137
C:\Users\goback\Downloads\lpr\0912\one_line\20220831-042555_32우7937.jpg	32노7919                  	0.3720
